gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnBinary
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),74.61,5369.22,No,0
Female,1,Yes,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.41,4560.41,No,0
Male,0,No,Yes,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.48,287.04,Yes,1
Male,0,Yes,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.99,818.49,No,0
Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.76,652.7,No,0
Female,1,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,77.01,4230.62,Yes,1
Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),59.75,178.16,No,0
Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),74.49,524.2,No,0
Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.03,1152.09,No,0
Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.42,2706.84,No,0
Male,0,No,No,34,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,51.5,1736.63,Yes,1
Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,79.34,318.93,No,0
