customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),74.61,5369.22,No
CUST-00002,Female,1,Yes,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.41,4560.41,No
CUST-00003,Male,0,No,Yes,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.48,287.04,Yes
CUST-00004,Male,0,Yes,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.99,818.49,No
CUST-00005,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.76,652.7,No
CUST-00006,Female,1,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,77.01,4230.62,Yes
CUST-00007,Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),59.75,178.16,No
CUST-00008,Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),74.49,524.2,No
CUST-00009,Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.03,1152.09,No
CUST-00010,Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.42,2706.84,No
CUST-00011,Male,0,No,No,34,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,51.5,1736.63,Yes
CUST-00012,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,79.34,318.93,No
CUST-00013,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.81,89.56,No
